FID,CommonName,ScientificName,RecordDate,Easting_MGA,Northing_MGA,individualCount,coordinateUncertaintyInMeters,geodeticDatum,Data Resource Name,Location 1
40603,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.183,-35.2022,1,10,GDA94,ACT Wildlife Atlas,"(-35.2022, 149.183)"
40604,Boulenger's Skink,Morethia boulengeri,11/07/2013,149.044,-35.2595,1,10,GDA94,ACT Wildlife Atlas,"(-35.2595, 149.044)"
40605,Boulenger's Skink,Morethia boulengeri,31/10/2013,149.185,-35.1861,1,10,GDA94,ACT Wildlife Atlas,"(-35.1861, 149.185)"
40606,Boulenger's Skink,Morethia boulengeri,12/07/2012,149.171,-35.1883,1,10,GDA94,ACT Wildlife Atlas,"(-35.1883, 149.171)"
39234,Boulenger's Skink,Morethia boulengeri,21/11/2013,149.145,-35.3617,1,10,GDA94,ACT Wildlife Atlas,"(-35.3617, 149.145)"
39235,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.138,-35.3548,1,10,GDA94,ACT Wildlife Atlas,"(-35.3548, 149.138)"
39236,Boulenger's Skink,Morethia boulengeri,18/12/2013,149.12,-35.3885,1,10,GDA94,ACT Wildlife Atlas,"(-35.3885, 149.12)"
39237,Boulenger's Skink,Morethia boulengeri,28/11/2012,149.142,-35.3571,1,10,GDA94,ACT Wildlife Atlas,"(-35.3571, 149.142)"
39238,Boulenger's Skink,Morethia boulengeri,22/10/2013,149.142,-35.3571,1,10,GDA94,ACT Wildlife Atlas,"(-35.3571, 149.142)"
39239,Boulenger's Skink,Morethia boulengeri,22/10/2013,149.183,-35.2022,1,10,GDA94,ACT Wildlife Atlas,"(-35.2022, 149.183)"
39240,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.142,-35.3571,1,10,GDA94,ACT Wildlife Atlas,"(-35.3571, 149.142)"
39241,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.183,-35.2022,1,10,GDA94,ACT Wildlife Atlas,"(-35.2022, 149.183)"
39242,Boulenger's Skink,Morethia boulengeri,11/07/2013,149.044,-35.2595,1,10,GDA94,ACT Wildlife Atlas,"(-35.2595, 149.044)"
39379,Spotted Grass Frog,Limnodynastes tasmaniensis,15/11/2013,149.183,-35.166,1,10,GDA94,ACT Wildlife Atlas,"(-35.166, 149.183)"
39380,Plains Froglet,Crinia parinsignifera,21/10/2013,149.12,-35.3887,1,10,GDA94,ACT Wildlife Atlas,"(-35.3887, 149.12)"
39381,Common Eastern Froglet,Crinia signifera,21/10/2013,149.12,-35.3887,1,10,GDA94,ACT Wildlife Atlas,"(-35.3887, 149.12)"
39382,Spotted Grass Frog,Limnodynastes tasmaniensis,9/03/2013,149.166,-35.1732,1,10,GDA94,ACT Wildlife Atlas,"(-35.1732, 149.166)"
39383,Spotted Grass Frog,Limnodynastes tasmaniensis,22/10/2013,149.145,-35.2066,1,10,GDA94,ACT Wildlife Atlas,"(-35.2066, 149.145)"
39384,Spotted Grass Frog,Limnodynastes tasmaniensis,9/03/2013,149.166,-35.1741,1,10,GDA94,ACT Wildlife Atlas,"(-35.1741, 149.166)"
39385,House Mouse,Mus musculus,28/10/2013,149.185,-35.375,1,10,GDA94,ACT Wildlife Atlas,"(-35.375, 149.185)"
39386,Common Dunnart,Sminthopsis murina,16/10/2013,149.157,-35.1784,1,10,GDA94,ACT Wildlife Atlas,"(-35.1784, 149.157)"
40463,Delicate Skink,Lampropholis delicata,23/10/2013,149.17,-35.2866,1,10,GDA94,ACT Wildlife Atlas,"(-35.2866, 149.17)"
40464,Delicate Skink,Lampropholis delicata,22/10/2013,149.138,-35.1935,1,10,GDA94,ACT Wildlife Atlas,"(-35.1935, 149.138)"
40465,Delicate Skink,Lampropholis delicata,10/03/2013,149.175,-35.1828,1,10,GDA94,ACT Wildlife Atlas,"(-35.1828, 149.175)"
40466,Delicate Skink,Lampropholis delicata,23/10/2013,149.174,-35.284,1,10,GDA94,ACT Wildlife Atlas,"(-35.284, 149.174)"
40467,Delicate Skink,Lampropholis delicata,22/10/2013,149.139,-35.1925,1,10,GDA94,ACT Wildlife Atlas,"(-35.1925, 149.139)"
40468,Delicate Skink,Lampropholis delicata,31/10/2013,149.172,-35.1874,1,10,GDA94,ACT Wildlife Atlas,"(-35.1874, 149.172)"
40469,Delicate Skink,Lampropholis delicata,13/11/2013,149.175,-35.1828,1,10,GDA94,ACT Wildlife Atlas,"(-35.1828, 149.175)"
40470,Delicate Skink,Lampropholis delicata,24/10/2013,149.121,-35.3885,1,10,GDA94,ACT Wildlife Atlas,"(-35.3885, 149.121)"
40471,Delicate Skink,Lampropholis delicata,31/10/2013,149.129,-35.2286,1,10,GDA94,ACT Wildlife Atlas,"(-35.2286, 149.129)"
40607,Boulenger's Skink,Morethia boulengeri,22/10/2013,149.142,-35.3576,1,10,GDA94,ACT Wildlife Atlas,"(-35.3576, 149.142)"
40608,Boulenger's Skink,Morethia boulengeri,23/10/2013,149.255,-35.4236,1,10,GDA94,ACT Wildlife Atlas,"(-35.4236, 149.255)"
40609,Boulenger's Skink,Morethia boulengeri,24/10/2013,149.138,-35.3555,1,10,GDA94,ACT Wildlife Atlas,"(-35.3555, 149.138)"
