suburb,columnHeight,columnMaterial,outreach,lampType,latitude,longitude 
CITY,12 metres,CONCRETE COLUMN,3.7,METAL HALIDE,-35.283262813273254, 149.12582768482724
DOWNER,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.245944136723296, 149.13909519389924
CITY,5 metres,ALUMINIUM,1.5,METAL HALIDE,-35.284829170210415, 149.12337932923793
AINSLIE,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.2591668409516, 149.15058356638033
DICKSON,6.5 metres,STEEL ORDINARY,3.7,LIGHT EMITTING DIODE,-35.250947472125006, 149.13778149470156
CAMPBELL,9 metres,ALUMINIUM,1.5,METAL HALIDE,-35.292936500417035, 149.14756003013196
CANBERRA CENTRAL (RURAL DIST.),10.5 metres,CONCRETE COLUMN,3.7,METAL HALIDE,-35.42445693557287, 149.07237195628687
CITY,4.5 metres,STEEL ORDINARY,0.6,METAL HALIDE,-35.279210530262596, 149.13062602499298
CITY,10.5 metres,ALUMINIUM,4.5,METAL HALIDE,-35.277573446116634, 149.12805353925924
CANBERRA CENTRAL (RURAL DIST.),4 metres,STEEL SPECIAL,NONE,METAL HALIDE,-35.278698928290275, 149.13133442774205
CAMPBELL,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.282742004241925, 149.15759214647758
CITY,10.5 metres,,4.5,METAL HALIDE,-35.28118573800387, 149.1316339821397
CANBERRA CENTRAL (RURAL DIST.),4.5 metres,STEEL SPECIAL,NONE,MERCURY VAPOUR,-35.274199291766294, 149.0968530134291
O'CONNOR,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.256911245816134, 149.12731901210122
AINSLIE,6.5 metres,STEEL ORDINARY,1.5,METAL HALIDE,-35.253109435940225, 149.15172379748572
CANBERRA CENTRAL (RURAL DIST.),4 metres,STEEL SPECIAL,NONE,MERCURY VAPOUR,-35.280728520306575, 149.12252712628185
BRADDON,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.27394823944217, 149.14026011918506
LYNEHAM,12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.232466324694336, 149.12514140835236
LYNEHAM,3.5 metres,STEEL ORDINARY,NONE,COMPACT FLUORESCENT,-35.251625614160055, 149.13194476278858
LYNEHAM,12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.243206777121316, 149.11970769316935
CANBERRA CENTRAL (RURAL DIST.),12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.278072103270695, 149.08661534299958
DOWNER,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.241128366349514, 149.14367727592048
ACTON,8 metres,STEEL ORDINARY,NONE,METAL HALIDE,-35.291986055012146, 149.11884589310142
CAMPBELL,10.5 metres,STEEL ORDINARY,3.0,METAL HALIDE,-35.29088139641312, 149.14350612429493
DICKSON,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.252023932812264, 149.14303743023788
LYNEHAM,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.241986426675226, 149.11892013825428
CAMPBELL,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.289563661678564, 149.15312508400936
CAMPBELL,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.286701319895954, 149.15622866822258
CITY,10.5 metres,ALUMINIUM,4.5,METAL HALIDE,-35.28381947770211, 149.13281981677204
CITY,4.5 metres,STEEL ORDINARY,0.6,METAL HALIDE,-35.281536666693995, 149.13183421826992
WATSON,6.5 metres,STEEL ORDINARY,1.5,METAL HALIDE,-35.23312886752111, 149.15716424748413
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.265488696704296, 149.14714211846422
HACKETT,6.5 metres,STEEL ORDINARY,0.75,COMPACT FLUORESCENT,-35.243098916886574, 149.16189649204003
RUSSELL,9 metres,STEEL ORDINARY,3.0,MERCURY VAPOUR,-35.2957335400448, 149.14720010567387
CITY,4.5 metres,ALUMINIUM,0.6,METAL HALIDE,-35.278368879249925, 149.12989405143708
CAMPBELL,9 metres,STEEL ORDINARY,3.0,METAL HALIDE,-35.28767601479236, 149.14378944704066
WATSON,12 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.239827161358726, 149.1480431107565
BRADDON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.26867437141118, 149.13149273184135
CANBERRA CENTRAL (RURAL DIST.),3.5 metres,CONCRETE COLUMN,NONE,MERCURY VAPOUR,-35.424456918357386, 149.07240498781323
DOWNER,6.5 metres,WOODEN POLE,0.75,COMPACT FLUORESCENT,-35.246832790107796, 149.15112029721664
HACKETT,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.248723920672816, 149.16618663205722
WATSON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.243971356919545, 149.15846302017746
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.260644720375566, 149.14735253912121
BRADDON,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.272032063564836, 149.13310531240023
LYNEHAM,10.5 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.248046971649686, 149.13365407862574
CANBERRA CENTRAL (RURAL DIST.),,,,MERCURY HIGH PRESURE FLUORESCE,-35.181509906424886, 149.13419697247102
AINSLIE,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.256981635321814, 149.15240883786785
AINSLIE,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.25840489074907, 149.13830891960095
ACTON,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.28349278269868, 149.10724423594664
LYNEHAM,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.247825920765386, 149.12549576918462
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.256128118887595, 149.15158655045735
DICKSON,4.5 metres,STEEL SPECIAL,0.75,METAL HALIDE,-35.250251314005396, 149.1396280626505
WATSON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.243715527844934, 149.15520555539635
O'CONNOR,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.261802535439685, 149.11847181220253
LYNEHAM,12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE,-35.23243900239455, 149.14479970060626
DOWNER,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.247801766751564, 149.14314755937514
BRADDON,6.5 metres,STEEL ORDINARY,NONE,LIGHT EMITTING DIODE,-35.2700029051881, 149.13333234508974
CANBERRA CENTRAL (RURAL DIST.),4.5 metres,STEEL SPECIAL,NONE,MERCURY VAPOUR,-35.274272731138744, 149.09735422020836
RUSSELL,4.5 metres,STEEL ORDINARY,NONE,MERCURY VAPOUR,-35.295591383546366, 149.14774505291948
O'CONNOR,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.26317465611605, 149.12111503005562
TURNER,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.26594125890017, 149.12737060759517
O'CONNOR,9.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.258041044365726, 149.11937194275515
DOWNER,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.246363754852275, 149.14930051344888
O'CONNOR,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.265453281273516, 149.11371836808118
CITY,4.5 metres,STEEL ORDINARY,NONE,METAL HALIDE,-35.279687369685526, 149.13134982138033
CAMPBELL,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.2849959498513, 149.14624082273693
CITY,10 metres,STEEL ORDINARY,NONE,SODIUM VAPOUR HIGH PRESSURE,-35.278885946242525, 149.12656299654057
CITY,9 metres,ALUMINIUM,3.0,METAL HALIDE,-35.279072556229394, 149.13336202687535
ACTON,9 metres,CONCRETE COLUMN,3.0,METAL HALIDE,-35.28891664565009, 149.11850440051919
ACTON,8 metres,STEEL ORDINARY,NONE,METAL HALIDE,-35.292023164710166, 149.12000766647546
HACKETT,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.24949890699618, 149.16742730021096
TURNER,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.272773659856576, 149.11959464579542
DICKSON,10.5 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.253803483791145, 149.13493374568998
BRADDON,6.5 metres,WOODEN POLE,0.6,MERCURY LOW PRESURE FLUORESCEN,-35.424457152853726, 149.07195355695026
AINSLIE,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.26719493773701, 149.14169649772123
WATSON,6.5 metres,STEEL ORDINARY,1.5,SODIUM VAPOUR LOW PRESSURE,-35.424475297042626, 149.07172235014215
CITY,10.5 metres,,3.0,METAL HALIDE,-35.281871120102004, 149.13479430686834
CAMPBELL,4 metres,STEEL ORDINARY,NONE,METAL HALIDE,-35.28802068184342, 149.1446239579476
HACKETT,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.242138586410256, 149.16475249541722
WATSON,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.245717537703236, 149.15745239506938
WATSON,3.5 metres,CONCRETE COLUMN,NONE,MERCURY VAPOUR,-35.236371983153774, 149.1493464899431
TURNER,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.272882612546276, 149.12615896136322
CITY,4.5 metres,ALUMINIUM,0.6,METAL HALIDE,-35.27860234130894, 149.13038273992984
CITY,10.5 metres,,4.5,METAL HALIDE,-35.283491590340084, 149.13284942869333
O'CONNOR,10.5 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.25940281503911, 149.12233652715557
CITY,11 metres,STEEL ORDINARY,3.0,METAL HALIDE,-35.276896240355185, 149.12587296403694
DICKSON,10.5 metres,STEEL ORDINARY,3.7,LIGHT EMITTING DIODE,-35.250026519035025, 149.13794467648236
CANBERRA CENTRAL (RURAL DIST.),12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.261501513117636, 149.08728180192887
CITY,10.5 metres,CONCRETE COLUMN,3.7,METAL HALIDE,-35.280842042464855, 149.12836465482368
O'CONNOR,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.266513972067905, 149.11396354158873
ACTON,10.5 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.272443000052384, 149.11718283176532
CANBERRA CENTRAL (RURAL DIST.),12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.260521755531634, 149.08740506678808
O'CONNOR,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.263490512340745, 149.12537022559167
CITY,10.5 metres,STEEL ORDINARY,3.7,METAL HALIDE,-35.285517838644395, 149.13123136448675
CITY,,UNDERPASS,NONE,METAL HALIDE,-35.282137907201744, 149.13302023796143
DICKSON,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.25763663988208, 149.13635860311234
WATSON,10.5 metres,STEEL ORDINARY,3.7,LIGHT EMITTING DIODE,-35.24414526557522, 149.15942503392893
CITY,11 metres,STEEL ORDINARY,3.0,METAL HALIDE,-35.277167882307005, 149.12638601629212
LYNEHAM,10.5 metres,STEEL ORDINARY,4.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.25892173360424, 149.13210748468197
O'CONNOR,6.5 metres,WOODEN POLE,,LIGHT EMITTING DIODE,-35.25860313448873, 149.12309425209713
O'CONNOR,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.26213391465771, 149.12189009271688
O'CONNOR,6.5 metres,WOODEN POLE,0.5,COMPACT FLUORESCENT,-35.260188515528995, 149.11235060557914
LYNEHAM,12 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.243762564165195, 149.13455361412676
CANBERRA CENTRAL (RURAL DIST.),10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.424466188008445, 149.07190952187543
BRADDON,9 metres,CONCRETE COLUMN,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.27361124757217, 149.13465673705514
CITY,12 metres,STEEL ORDINARY,3.7,METAL HALIDE,-35.27936423108261, 149.13125449031548
CAMPBELL,10.5 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE,-35.303972516830285, 149.16434478872833
CITY,10.5 metres,CONCRETE COLUMN,3.7,METAL HALIDE,-35.281798786341426, 149.12540707809802
TURNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.269753440031735, 149.11616301822514
WATSON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.234079571689556, 149.1526945394545
CAMPBELL,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.28655560756561, 149.16031236775598
O'CONNOR,10.5 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.259096778218115, 149.11951785926271
CAMPBELL,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.28617350020545, 149.15131911878635
O'CONNOR,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.2558158393499, 149.12749653663806
DICKSON,11 metres,ALUMINIUM,NONE,LIGHT EMITTING DIODE,-35.25094902656631, 149.13438156281808
CITY,4.5 metres,STEEL SPECIAL,NONE,METAL HALIDE,-35.281162243023246, 149.13471259839753
O'CONNOR,12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.2481521100622, 149.11005872074875
CANBERRA CENTRAL (RURAL DIST.),10.5 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.26075922867264, 149.10711243231728
LYNEHAM,12 metres,STEEL ORDINARY,3.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.245810273269825, 149.13420456102943
CAMPBELL,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.284512843706125, 149.15258280174052
WATSON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.24019920852713, 149.15977575678536
LYNEHAM,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.256253148011986, 149.13161667544608
REID,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.282290627482865, 149.14024376311573
BRADDON,3.5 metres,CONCRETE COLUMN,NONE,MERCURY HIGH PRESURE FLUORESCE,-35.272437780423076, 149.13169769765517
O'CONNOR,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.250574278351586, 149.1193085939762
BRADDON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.265779440043836, 149.13381405763212
WATSON,12 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.24329662315705, 149.15222971051972
ACTON,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.2902460312378, 149.12660410400423
HACKETT,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.254706542085216, 149.16373955081698
O'CONNOR,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.25910740333304, 149.11325858181084
O'CONNOR,6.5 metres,STEEL ORDINARY,1.5,LIGHT EMITTING DIODE,-35.265928161987844, 149.11692974100998
WATSON,3.5 metres,CONCRETE COLUMN,NONE,MERCURY VAPOUR,-35.239071198868686, 149.15699592304554
CITY,4.5 metres,STEEL ORDINARY,0.6,METAL HALIDE,-35.283865450081144, 149.13252127046238
BRADDON,10.5 metres,STEEL ORDINARY,4.3,SODIUM VAPOUR HIGH PRESSURE TW,-35.273238610955964, 149.13036585758297
DOWNER,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.245612836220374, 149.14716028110215
LYNEHAM,12 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.233351930452024, 149.14716714921263
LYNEHAM,10.5 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.248035628079926, 149.13143623765103
CITY,10.5 metres,CONCRETE COLUMN,4.3,METAL HALIDE,-35.277755159729765, 149.1292112239552
BRADDON,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.275864667190774, 149.13532709488587
DOWNER,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.24730666331542, 149.13559481667536
AINSLIE,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.254259500093795, 149.15588129134125
O'CONNOR,12 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.25923961639176, 149.10594771004187
CANBERRA CENTRAL (RURAL DIST.),3.5 metres,STEEL ORDINARY,NONE,MERCURY VAPOUR,-35.424466250590754, 149.07178840626347
HACKETT,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.255988818809385, 149.16484071350067
HACKETT,6 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.24828412956095, 149.16341774550904
DOWNER,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.241138872941605, 149.13695934676085
WATSON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.239881606713446, 149.15562400531508
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.264457155655165, 149.14105137219076
DOWNER,6.5 metres,WOODEN POLE,0.5,COMPACT FLUORESCENT,-35.243240773412445, 149.15019233651296
AINSLIE,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.256198831266296, 149.14277676134984
LYNEHAM,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.246973261181545, 149.12812600466907
CITY,4.5 metres,STEEL ORDINARY,NONE,METAL HALIDE,-35.279883671379956, 149.13119104475032
CITY,,UNDERPASS,NONE,METAL HALIDE,-35.282043770076776, 149.13296775481527
WATSON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.23664730906448, 149.15497048398467
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.26338740055013, 149.14367666664467
HACKETT,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.255343539469926, 149.16217728954936
CITY,4.5 metres,STEEL SPECIAL,NONE,METAL HALIDE,-35.282397193084776, 149.12533774979642
CANBERRA CENTRAL (RURAL DIST.),6.5 metres,STEEL SPECIAL,0.15,COMPACT FLUORESCENT,-35.28639675911969, 149.12474130040493
O'CONNOR,6.5 metres,STEEL ORDINARY,0.6,COMPACT FLUORESCENT,-35.260707357157806, 149.11858133934695
BRADDON,6.3 metres,GALVANISED STEEL,NONE,LIGHT EMITTING DIODE,-35.270002943238424, 149.13199593460615
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.26758528647418, 149.14521274952594
CAMPBELL,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.287671215186975, 149.14838754660545
AINSLIE,6.5 metres,WOODEN POLE,0.6,METAL HALIDE,-35.257114800425974, 149.15105162750942
TURNER,10.5 metres,CONCRETE COLUMN,4.3,SODIUM VAPOUR HIGH PRESSURE TW,-35.26541706835723, 149.13106127078728
TURNER,12 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.275549720180486, 149.12932919357453
HACKETT,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.24735641796746, 149.16648470051481
DICKSON,10.5 metres,CONCRETE COLUMN,4.3,SODIUM VAPOUR HIGH PRESSURE,-35.25588612077663, 149.13317173328136
CITY,10.5 metres,ALUMINIUM,4.5,METAL HALIDE,-35.278006095680894, 149.1307765712732
TURNER,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.264063378124895, 149.12770236407943
O'CONNOR,6.5 metres,WOODEN POLE,0.5,COMPACT FLUORESCENT,-35.257401522425646, 149.12415519961914
CITY,9 metres,ALUMINIUM,,METAL HALIDE,-35.27694327069883, 149.13277423169478
CITY,10.5 metres,,4.5,METAL HALIDE,-35.279619670015165, 149.1305511279337
O'CONNOR,12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.24344489357528, 149.11683136267754
DOWNER,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.247241838515166, 149.15308737126824
LYNEHAM,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.250114901643286, 149.1222753417664
CAMPBELL,10.5 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.284725679354985, 149.16090120183625
CANBERRA CENTRAL (RURAL DIST.),6.5 metres,STEEL SPECIAL,0.15,COMPACT FLUORESCENT,-35.287749717936286, 149.11386126385764
CITY,10.5 metres,,4.5,METAL HALIDE,-35.27704030967621, 149.12790204973612
CITY,10.5 metres,,4.5,METAL HALIDE,-35.280046638198314, 149.12685886294935
ACTON,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.278923811714186, 149.11146351941102
LYNEHAM,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.23980600096845, 149.11967106548417
DOWNER,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.248606845726194, 149.13891702868113
CAMPBELL,4 metres,STEEL ORDINARY,NONE,METAL HALIDE,-35.290062349985234, 149.14284562067093
O'CONNOR,6.5 metres,WOODEN POLE,0.5,COMPACT FLUORESCENT,-35.256687987392006, 149.11789424258785
CITY,10.5 metres,CONCRETE COLUMN,3.7,METAL HALIDE,-35.282848753284725, 149.12561598320556
DICKSON,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.252193319686036, 149.14308340463262
O'CONNOR,10.5 metres,CONCRETE COLUMN,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.259079968317096, 149.10564038340783
CITY,4.5 metres,STEEL ORDINARY,0.5,METAL HALIDE,-35.278114065981995, 149.13075935599517
CAMPBELL,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.2887285888091, 149.14837571151605
CANBERRA CENTRAL (RURAL DIST.),12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.259592694176455, 149.08743453074894
WATSON,3.5 metres,CONCRETE COLUMN,NONE,MERCURY VAPOUR,-35.2345956021707, 149.14955473309223
CAMPBELL,6.5 metres,STEEL ORDINARY,1.5,LIGHT EMITTING DIODE,-35.28191033626026, 149.15293904697884
AINSLIE,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.256403718554346, 149.15086178820252
CANBERRA CENTRAL (RURAL DIST.),12 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.259716703135695, 149.0935942597078
WATSON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.233395730028654, 149.15337616277498
CITY,4.5 metres,STEEL SPECIAL,NONE,METAL HALIDE,-35.282111022081345, 149.13527906951776
O'CONNOR,6.5 metres,STEEL ORDINARY,0.6,METAL HALIDE,-35.252424454543394, 149.11354194221363
BRADDON,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.269286540310716, 149.13325979840383
CANBERRA CENTRAL (RURAL DIST.),12 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.283714826688254, 149.10386267598585
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.26033979329938, 149.14847918548787
O'CONNOR,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.254315480041775, 149.1247870490555
BRADDON,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.266373863642976, 149.13623580010568
O'CONNOR,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.259794961276846, 149.12239718793995
LYNEHAM,6.5 metres,STEEL ORDINARY,1.5,SODIUM VAPOUR HIGH PRESSURE,-35.24876799234373, 149.12751657360712
WATSON,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.243879611176546, 149.15975783946232
CITY,10.5 metres,STEEL ORDINARY,3.5,METAL HALIDE,-35.28121176386157, 149.12941583846353
LYNEHAM,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.23929992049294, 149.1195662062737
DICKSON,6.5 metres,STEEL ORDINARY,0.15,COMPACT FLUORESCENT,-35.250528795656045, 149.15359873931408
BRADDON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.274643669386876, 149.13134147637825
RUSSELL,9 metres,STEEL ORDINARY,3.0,MERCURY VAPOUR,-35.295462585379745, 149.14704215065635
O'CONNOR,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.255890580522845, 149.12179464180178
CITY,3.5 metres,STEEL ORDINARY,NONE,MERCURY VAPOUR,-35.282494590579574, 149.12687727118558
CITY,10.5 metres,ALUMINIUM,4.5,METAL HALIDE,-35.276511599396116, 149.13103502575635
CITY,4.5 metres,STEEL SPECIAL,NONE,METAL HALIDE,-35.282472810479405, 149.13591453847877
LYNEHAM,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.24694173936431, 149.12386712234868
WATSON,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.233518293332416, 149.14922196089196
TURNER,6.5 metres,STEEL ORDINARY,0.75,SODIUM VAPOUR HIGH PRESSURE,-35.270022907582074, 149.12910014174847
CAMPBELL,10.5 metres,STEEL ORDINARY,3.0,METAL HALIDE,-35.291931938711144, 149.14533049368595
CANBERRA CENTRAL (RURAL DIST.),12 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.260049660402544, 149.10328729032864
TURNER,10.5 metres,STEEL ORDINARY,4.3,SODIUM VAPOUR HIGH PRESSURE,-35.260635933934246, 149.1318336866544
AINSLIE,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.252686202041204, 149.15269181435207
CANBERRA CENTRAL (RURAL DIST.),4.5 metres,STEEL ORDINARY,NONE,METAL HALIDE,-35.424466056762, 149.07216276360833
WATSON,3.5 metres,CONCRETE COLUMN,NONE,MERCURY VAPOUR,-35.23769666272954, 149.14967929439337
HACKETT,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.24459852283983, 149.1600527590729
CANBERRA CENTRAL (RURAL DIST.),4 metres,STEEL SPECIAL,NONE,MERCURY VAPOUR,-35.278281785446744, 149.1325638232594
LYNEHAM,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.24733842406971, 149.11939827586554
