suburb,columnHeight,columnMaterial,outreach,lampType,latitude,longitude
ACTON,,,,LIGHT EMITTING DIODE,-35.29030950894655, 149.1262681170804
CAMPBELL,6.5 metres,STEEL ORDINARY,1.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.30146547093937, 149.17411846800388
TURNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.26673781486242, 149.12418582603777
BRADDON,6.3 metres,GALVANISED STEEL,NONE,LIGHT EMITTING DIODE,-35.27036188059352, 149.13192315225186
CITY,,BRICK WALL,NONE,PHOTOLUMINESCENCE,-35.278103786266314, 149.13050506219977
ACTON,6 metres,STEEL ORDINARY,0.75,LIGHT EMITTING DIODE,-35.290245705436625, 149.1263153108493
CAMPBELL,12 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.30303422253653, 149.1699118491319
ACTON,6 metres,STEEL ORDINARY,0.75,LIGHT EMITTING DIODE,-35.2905727993713, 149.12634643905173
CITY,10.5 metres,CONCRETE COLUMN,3.7,METAL HALIDE,-35.280422463328634, 149.13215405981865
ACTON,6 metres,STEEL ORDINARY,0.75,LIGHT EMITTING DIODE,-35.290681916610346, 149.12635028511255
REID,10.5 metres,STEEL ORDINARY,3.7,MERCURY VAPOUR,-35.28574042379253, 149.13532769405177
BRADDON,12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.266367765138824, 149.13148856160598
DICKSON,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.250659509390275, 149.14126406725296
REID,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.279975912610674, 149.14140837982552
BRADDON,6.3 metres,GALVANISED STEEL,NONE,LIGHT EMITTING DIODE,-35.27025333910472, 149.13180021994788
TURNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.266318322302915, 149.1251430935955
CANBERRA CENTRAL (RURAL DIST.),6.5 metres,GALVANISED STEEL,0.15,COMPACT FLUORESCENT,-35.28069588124747, 149.08730237266428
O'CONNOR,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.25074621282532, 149.12126448051518
ACTON,,,,,-35.290084160089854, 149.12623320694087
CITY,9 metres,GALVANISED STEEL,NONE,LIGHT EMITTING DIODE,-35.28062681958385, 149.1294524948277
ACTON,,,,LIGHT EMITTING DIODE,-35.29073090828207, 149.12629526743854
CITY,,,NONE,,-35.27909968248948, 149.1328636781363
CAMPBELL,10 metres,WOODEN POLE,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.29042423172179, 149.16968079400272
CANBERRA CENTRAL (RURAL DIST.),6.5 metres,STEEL SPECIAL,0.15,COMPACT FLUORESCENT,-35.28250418115531, 149.0881439401157
LYNEHAM,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.25309476770402, 149.12846205649205
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.265189225136226, 149.13880588517014
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.2638148724144, 149.14036207706437
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.26699957525544, 149.14660865642765
CITY,,,NONE,,-35.27935392836957, 149.13268185852777
BRADDON,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.265388259187105, 149.13266645815065
BRADDON,10.5 metres,CONCRETE COLUMN,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.272160493355926, 149.14091176824678
WATSON,12 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.230431467631774, 149.1519334201339
O'CONNOR,12 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.260034671395346, 149.10040426578857
ACTON,6 metres,STEEL ORDINARY,0.75,LIGHT EMITTING DIODE,-35.29002832681216, 149.1262781476647
LYNEHAM,9.5 metres,WOODEN POLE,0.5,COMPACT FLUORESCENT,-35.248970001367304, 149.12629275921765
O'CONNOR,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.26096633301982, 149.13040362369082
HACKETT,6.3 metres,GALVANISED STEEL,NONE,LIGHT EMITTING DIODE,-35.2703469370478, 149.13178410478855
CITY,9 metres,STEEL ORDINARY,0.3,LIGHT EMITTING DIODE,-35.27988948037664, 149.1303328201563
CAMPBELL,12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.30163665635894, 149.1718720795118
ACTON,6 metres,STEEL ORDINARY,0.75,LIGHT EMITTING DIODE,-35.29079095588728, 149.1263508740351
CAMPBELL,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.290948873646364, 149.1471369441458
O'CONNOR,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.258986429328736, 149.11373671716416
LYNEHAM,12 metres,STEEL ORDINARY,3.5,LIGHT EMITTING DIODE,-35.23439744724557, 149.1458768545653
